calendar_start_date,iso_year,iso_week,dengue_total,tmin,tmax,rh
2020-04-26,2020,17,406.0,23.90857151576451,28.77000018528529,86.1614285714286
2020-05-03,2020,18,341.0,24.712857382638113,28.92571422031947,84.2642857142857
2020-05-10,2020,19,223.0,25.262857164655408,29.76285743713379,78.9642857142857
2020-05-17,2020,20,222.0,24.73428589957101,29.19999967302595,81.1428571428571
2020-05-24,2020,21,209.0,24.420000076293945,28.91857092721122,85.09
2020-05-31,2020,22,251.0,24.38999993460519,29.52285712105887,80.8185714285714
2020-06-07,2020,23,256.0,24.278571537562776,28.82285717555455,82.4657142857143
2020-06-14,2020,24,284.0,24.161428724016464,28.24428612845285,82.0
2020-06-21,2020,25,300.0,23.96714292253767,28.8271427154541,78.01
2020-06-28,2020,26,293.0,23.478571483067103,27.17000034877232,77.77
2020-07-05,2020,27,246.0,24.184285845075333,28.75714329310826,77.9857142857143
2020-07-12,2020,28,237.0,23.80714307512556,28.18857165745326,79.3942857142857
2020-07-19,2020,29,196.0,23.58714267185756,29.22714287894113,70.9757142857143
2020-07-26,2020,30,211.0,23.497143064226425,29.62999997820173,68.7414285714286
2020-08-02,2020,31,184.0,23.629999978201727,30.61714281354632,64.9271428571429
2020-08-09,2020,32,153.0,23.67999976021903,31.31142834254674,60.5557142857143
2020-08-16,2020,33,159.0,23.768571036202562,30.92857142857143,66.3057142857143
2020-08-23,2020,34,136.0,24.132857186453684,31.34428596496582,66.1971428571429
2020-08-30,2020,35,97.0,24.254285539899552,30.66571426391602,67.6557142857143
2020-09-06,2020,36,85.0,24.169999803815568,31.20857129778181,64.41
2020-09-13,2020,37,80.0,24.10571425301688,31.33714267185756,63.9214285714286
2020-09-20,2020,38,59.0,24.18857138497489,30.70857129778181,66.2
2020-09-27,2020,39,58.0,24.6257141658238,30.25571387154715,68.9814285714286
2020-10-04,2020,40,50.0,24.80000005449568,31.54000009809221,66.9814285714286
2020-10-11,2020,41,55.0,24.755714416503903,31.14714295523507,69.3571428571429
2020-10-18,2020,42,46.0,25.03571401323591,31.14000020708357,69.0957142857143
2020-10-25,2020,43,31.0,25.18857138497489,31.151428767613,70.8671428571429
2020-11-01,2020,44,50.0,25.372856957571848,30.93571417672294,70.7842857142857
2020-11-08,2020,45,54.0,25.612857001168383,30.92857142857143,73.2914285714286
2020-11-15,2020,46,65.0,25.57714298793248,31.08999988010951,71.76
2020-11-22,2020,47,41.0,25.707142693655832,31.04285703386579,72.6885714285714
2020-11-29,2020,48,32.0,25.507142748151505,31.09857150486537,69.2771428571429
2020-12-06,2020,49,47.0,25.497143064226425,31.34142902919224,70.1385714285714
2020-12-13,2020,50,41.0,25.67142868041992,31.09142848423549,69.81
2020-12-20,2020,51,39.0,25.71571377345494,31.12142862592425,71.2385714285714
2020-12-27,2020,52,14.0,25.427142824445447,30.17142840794154,72.2871428571429
2021-01-03,2020,53,45.0,25.709999847412114,31.45999946594238,68.888
2021-01-10,2021,1,43.0,25.657142366681775,30.76428522382464,73.13
2021-01-17,2021,2,47.0,25.737142562866207,30.72000013078962,69.3471428571429
2021-01-24,2021,3,55.0,25.24571418762207,30.16999980381557,73.9914285714286
2021-01-31,2021,4,94.0,25.327142442975724,30.24714279174805,75.9742857142857
2021-02-07,2021,5,69.0,25.685714176722932,31.03857094900949,70.6971428571429
2021-02-14,2021,6,90.0,25.502856935773572,30.30428586687361,76.8128571428571
2021-02-21,2021,7,101.0,25.01571410042899,29.08428600856236,81.1957142857143
2021-02-28,2021,8,120.0,24.944285801478795,29.25714274815151,80.9557142857143
2021-03-07,2021,9,150.0,24.44714300973075,28.7999997820173,82.93
2021-03-14,2021,10,116.0,24.64857155936105,29.16428593226842,82.5342857142857
2021-03-21,2021,11,152.0,24.39428574698312,29.54857117789132,80.47
2021-03-28,2021,12,150.0,24.0,28.42714282444545,82.84
2021-04-04,2021,13,275.0,24.63428579057966,28.89285741533552,82.02
2021-04-11,2021,14,306.0,25.47428594316755,30.28000014168876,75.9528571428571
2021-04-18,2021,15,333.0,24.465714045933314,28.96428571428572,83.2871428571429
2021-04-25,2021,16,458.0,24.189999716622488,28.24142864772252,84.7414285714286
2021-05-02,2021,17,648.0,24.662857055664062,29.61000033787318,79.8485714285714
2021-05-09,2021,18,817.0,23.788571221487864,28.07285717555455,84.7871428571429
2021-05-16,2021,19,798.0,24.339999880109513,28.91857147216797,80.3728571428571
2021-05-23,2021,20,799.0,24.765714372907365,29.49714306422642,77.5
2021-05-30,2021,21,921.0,24.587142944335938,30.43571444920131,72.61
2021-06-06,2021,22,1050.0,24.782857077462328,30.54428591047014,72.3171428571429
2021-06-13,2021,23,902.0,25.191428865705216,31.02142878941127,71.2785714285714
2021-06-20,2021,24,803.0,24.471428189958846,29.66285732814244,76.3942857142857
2021-06-27,2021,25,734.0,24.547142846243723,30.61285727364676,69.8985714285714
2021-07-04,2021,26,709.0,24.421428407941544,29.9057137625558,71.4157142857143
2021-07-11,2021,27,686.0,24.279999869210375,29.68999971662249,72.91
2021-07-18,2021,28,523.0,24.65999984741211,30.08999988010951,70.6728571428571
2021-07-25,2021,29,408.0,24.635714122227256,31.05285726274763,66.7342857142857
2021-08-01,2021,30,425.0,24.46000017438616,30.87142780848912,68.0985714285714
2021-08-08,2021,31,344.0,24.73571423121861,32.0471431187221,59.36
2021-08-15,2021,32,262.0,24.85714312962123,31.00428553989955,65.6557142857143
2021-08-22,2021,33,185.0,24.468571254185267,31.84428596496582,61.73
2021-08-29,2021,34,172.0,24.488571711948936,31.47428567068917,64.79
2021-09-05,2021,35,159.0,24.72857175554548,31.33999988010951,65.0985714285714
2021-09-12,2021,36,136.0,24.82428577968053,30.91714314052037,68.0757142857143
2021-09-19,2021,37,134.0,24.845714024135045,31.90428570338658,66.3742857142857
2021-09-26,2021,38,120.0,25.087142944335938,31.31714275905064,66.8485714285714
2021-10-03,2021,39,69.0,25.437143053327286,31.80428532191685,69.0485714285714
2021-10-10,2021,40,78.0,25.35714312962123,30.98714310782296,70.1042857142857
2021-10-17,2021,41,75.0,25.49428585597447,31.30999973842076,69.0285714285714
2021-10-24,2021,42,85.0,25.76857158115932,31.40999984741211,70.0514285714286
2021-10-31,2021,43,82.0,25.442857197352815,31.69999994550432,67.2442857142857
2021-11-07,2021,44,54.0,25.382857186453684,30.84000042506627,72.6128571428571
2021-11-14,2021,45,44.0,25.897142955235072,31.49714251926967,69.7071428571429
2021-11-21,2021,46,63.0,25.858571461268838,31.58142825535365,69.0242857142857
2021-11-28,2021,47,68.0,26.19714300973075,31.7228570665632,69.5985714285714
2021-12-05,2021,48,137.0,26.15571430751256,31.49285725184849,71.1371428571429
2021-12-12,2021,49,136.0,26.121428625924246,31.16857174464635,72.0942857142857
2021-12-19,2021,50,71.0,26.245714460100448,31.59285736083984,70.8014285714286
2021-12-26,2021,51,19.0,25.897142955235072,30.98285729544503,72.6371428571429
2022-01-02,2021,52,31.0,25.11666711171468,28.90333302815755,81.5416666666667
2022-01-09,2022,1,30.0,24.69714300973075,29.26999991280692,80.7571428571429
